//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	250	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Seal of Ascension (1 Days)
1000	1001	750	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Seal of Ascension (3 Days)
1000	1002	1500	6699	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Seal of Ascension (7 Days)
1010	1010	90	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Quickness (1 Days)
1010	1011	270	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Scroll of Quickness (3 Days)
1010	1012	630	7240	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Quickness (7 Days)
1020	1020	150	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Defense (1 Days)
1020	1021	450	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Scroll of Defense (3 Days)
1020	1022	1050	7241	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Defense (7 Days)
1030	1030	135	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Wrath (1 Days)
1030	1031	405	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Scroll of Wrath (3 Days)
1030	1032	945	7242	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Wrath (7 Days)
1040	1040	115	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Wizardry (1 Days)
1040	1041	345	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Scroll of Wizardry (3 Days)
1040	1042	805	7243	0	0	0	0	0	0	0	0	255	255	255	255	255	0	604800	// Scroll of Wizardry (7 Days)
1050	1050	100	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	86400	// Scroll of Health (1 Days)
1050	1051	300	7244	0	0	0	0	0	0	0	0	255	255	255	255	255	0	259200	// Scroll of Health (3 Days)
